Begin Time - ss.msec,End Time - ss.msec,Duration - ss.msec,NMM.eyebrows,Question,File
19.98,20.648,0.668,raised,04-PosNeut-04,04-V1-PosNeut_IRR_MO.eaf
20.648,21.38,0.732,raised-low,04-PosNeut-04,04-V1-PosNeut_IRR_MO.eaf
27.11,28.493,1.383,raised,04-NeutNeut-05,04-V1-NeutNeut_IRR_MO.eaf
28.493,29.7,1.207,inner-raise,04-NeutNeut-05,04-V1-NeutNeut_IRR_MO.eaf
15.69,15.951,0.261,lowered,06-baseline-03,06-V1-baseline_IRR_MO.eaf
15.951,16.9,0.949,raised-low,06-baseline-03,06-V1-baseline_IRR_MO.eaf
13.12,15.73,2.61,lowered,02-NeutPos-02,02-V2-NeutPos_IRR_MO.eaf
12.3,12.618,0.318,raised-low,07-PosNeg-02,07-V2-PosNeg_IRR_MO.eaf
12.618,15.59,2.972,lowered,07-PosNeg-02,07-V2-PosNeg_IRR_MO.eaf
28.63,30.94,2.31,raised,03-NegPos-05,03-V1-NegPos_IRR_MO.eaf
3.13,4.08,0.95,lowered,02-PosNeg-01,02-V2-PosNeg_IRR_MO.eaf
4.084,5.63,1.546,neutral,02-PosNeg-01,02-V2-PosNeg_IRR_MO.eaf
17.12,18.57,1.45,raised-low,02-PosNeg-03,02-V2-PosNeg_IRR_MO.eaf
18.57,19.13,0.56,neutral,02-PosNeg-03,02-V2-PosNeg_IRR_MO.eaf
21.74,23.99,2.25,lowered,02-PosNeg-04,02-V2-PosNeg_IRR_MO.eaf
24.66,25.93,1.27,inner-raise,02-NeutNeut-04,02-V2-NeutNeut_IRR_MO.eaf
1.85,3.505,1.655,neutral,03-declarative-01,03-V1-declarative_IRR_MO.eaf
4.96,7.54,2.58,lowered,06-NegNeut-01,06-V1-NegNeut_IRR_MO.eaf
7.85,9.902,2.052,neutral,05-NeutNeut-02,05-V2-NeutNeut_IRR_MO.eaf
9.902,11.46,1.558,lowered,05-NeutNeut-02,05-V2-NeutNeut_IRR_MO.eaf
11.73,11.855,0.125,raised-low,07-baseline-02,07-V2-baseline_IRR_MO.eaf
11.855,13.21,1.355,lowered,07-baseline-02,07-V2-baseline_IRR_MO.eaf
2.42,2.525,0.105,raised,04-NegNeut-01,04-V1-NegNeut_IRR_MO.eaf
2.525,4.12,1.595,neutral,04-NegNeut-01,04-V1-NegNeut_IRR_MO.eaf
18.155,20.7,2.545,neutral,04-NegNeut-04,04-V1-NegNeut_IRR_MO.eaf
2.72,3.217,0.497,raised,02-PosNeut-01,02-V2-PosNeut_IRR_MO.eaf
3.217,3.637,0.42,neutral,02-PosNeut-01,02-V2-PosNeut_IRR_MO.eaf
3.637,3.94,0.303,raised,02-PosNeut-01,02-V2-PosNeut_IRR_MO.eaf
3.94,5.1,1.16,neutral,02-PosNeut-01,02-V2-PosNeut_IRR_MO.eaf
26.36,26.809,0.449,lowered,02-NeutNeg-05,02-V2-NeutNeg_IRR_MO.eaf
26.809,28.314,1.505,raised-low,02-NeutNeg-05,02-V2-NeutNeg_IRR_MO.eaf
28.314,28.64,0.326,neutral,02-NeutNeg-05,02-V2-NeutNeg_IRR_MO.eaf
7.34,8.61,1.27,inner-raise,04-baseline-02,04-V1-baseline_IRR_MO.eaf
11.76,13.29,1.53,inner-raise,04-baseline-03,04-V1-baseline_IRR_MO.eaf
12.61,12.945,0.335,raised,06-PosNeg-02,06-V1-PosNeg_IRR_MO.eaf
12.945,14.63,1.685,raised-low,06-PosNeg-02,06-V1-PosNeg_IRR_MO.eaf
2.08,3.843,1.763,raised,02-NegPos-01,02-V2-NegPos_IRR_MO.eaf
3.844,4.91,1.066,neutral,02-NegPos-01,02-V2-NegPos_IRR_MO.eaf
17.05,18.57,1.52,lowered,02-NegPos-03,02-V2-NegPos_IRR_MO.eaf
23.32,25.02,1.7,inner-raise,02-NegPos-04,02-V2-NegPos_IRR_MO.eaf
4.57,6.26,1.69,lowered,06-NeutNeut-01,06-V1-NeutNeut_IRR_MO.eaf
13.94,15.42,1.48,lowered,07-NegPos-02,07-V2-NegPos_IRR_MO.eaf
13.12,15.73,2.61,lowered,02-NeutPos-02,02-V2-NeutPos_IRR_TDR.eaf
3.13,4.08,0.95,raised-low,02-PosNeg-01,02-V2-PosNeg_IRR_TDR.eaf
4.08,5.63,1.55,neutral,02-PosNeg-01,02-V2-PosNeg_IRR_TDR.eaf
17.12,18.31,1.19,raised-low,02-PosNeg-03,02-V2-PosNeg_IRR_TDR.eaf
18.31,18.74,0.43,neutral,02-PosNeg-03,02-V2-PosNeg_IRR_TDR.eaf
21.74,23.99,2.25,raised-low,02-PosNeg-04,02-V2-PosNeg_IRR_TDR.eaf
5.64,6.62,0.98,raised-low,06-NeutNeg-01,06-V1-NeutNeg_IRR_TDR.eaf
6.62,7.32,0.7,inner-raise,06-NeutNeg-01,06-V1-NeutNeg_IRR_TDR.eaf
11.99,15.17,3.18,raised-low,06-NeutNeg-02,06-V1-NeutNeg_IRR_TDR.eaf
21.99,22.19,0.2,neutral,06-NeutNeg-03,06-V1-NeutNeg_IRR_TDR.eaf
22.19,23.31,1.12,raised-low,06-NeutNeg-03,06-V1-NeutNeg_IRR_TDR.eaf
23.31,23.48,0.17,neutral,06-NeutNeg-03,06-V1-NeutNeg_IRR_TDR.eaf
2.06,3.98,1.92,neutral,01-NeutNeg-01,01-V2-NeutNeg_IRR_TDR.eaf
3.98,4.53,0.53,inner-raise,01-NeutNeg-01,01-V2-NeutNeg_IRR_TDR.eaf
4.53,4.85,0.34,raised-low,01-NeutNeg-01,01-V2-NeutNeg_IRR_TDR.eaf
4.85,5.23,0.38,inner-raise,01-NeutNeg-01,01-V2-NeutNeg_IRR_TDR.eaf
26.36,27,0.64,lowered,02-NeutNeg-05,02-V2-NeutNeg_IRR_TDR.eaf
27,28.64,1.64,neutral,02-NeutNeg-05,02-V2-NeutNeg_IRR_TDR.eaf
25.48,26.34,0.86,lowered,01-NeutPos-04,01-V2-NeutPos_IRR_TDR.eaf
26.34,26.87,0.53,neutral,01-NeutPos-04,01-V2-NeutPos_IRR_TDR.eaf
33.87,34.04,0.17,raised-low,01-NeutPos-05,01-V2-NeutPos_IRR_TDR.eaf
34.04,35.72,1.68,neutral,01-NeutPos-05,01-V2-NeutPos_IRR_TDR.eaf
15.69,15.81,0.12,lowered,06-baseline-03,06-V1-baseline_IRR_TDR.eaf
15.81,16.9,1.09,raised-low,06-baseline-03,06-V1-baseline_IRR_TDR.eaf
4.57,6.26,1.69,lowered,06-NeutNeut-01,06-V1-NeutNeut_IRR_TDR.eaf
8.08,9.94,1.86,lowered,06-NeutPos-02,06-V1-NeutPos_IRR_TDR.eaf
9.94,10.31,0.37,raised-low,06-NeutPos-02,06-V1-NeutPos_IRR_TDR.eaf
21.83,22.57,0.74,raised-low,05-NeutNeg-04,05-V2-NeutNeg_IRR_TDR.eaf
22.57,23.95,1.38,lowered,05-NeutNeg-04,05-V2-NeutNeg_IRR_TDR.eaf
3.06,3.88,0.82,raised,03-NeutNeg-01,03-V1-NeutNeg_IRR_TDR.eaf
3.88,4.08,0.2,raised-low,03-NeutNeg-01,03-V1-NeutNeg_IRR_TDR.eaf
4.08,5.21,1.13,raised,03-NeutNeg-01,03-V1-NeutNeg_IRR_TDR.eaf
5.21,5.46,0.25,neutral,03-NeutNeg-01,03-V1-NeutNeg_IRR_TDR.eaf
8.62,8.95,0.33,raised-low,03-NeutNeg-02,03-V1-NeutNeg_IRR_TDR.eaf
8.95,10.8,1.85,inner-raise,03-NeutNeg-02,03-V1-NeutNeg_IRR_TDR.eaf
28.81,29.79,0.98,raised-low,07-NeutPos-05,07-V2-NeutPos_IRR_TDR.eaf
29.79,30.93,1.14,raised,07-NeutPos-05,07-V2-NeutPos_IRR_TDR.eaf
4.02,6.14,2.12,raised-low,03-NeutPos-01,03-V1-NeutPos_IRR_TDR.eaf
15.48,15.94,0.46,raised,04-NeutPos-03,04-V1-NeutPos_IRR_TDR.eaf
15.94,16.25,0.31,raised-low,04-NeutPos-03,04-V1-NeutPos_IRR_TDR.eaf
16.25,17.41,1.16,neutral,04-NeutPos-03,04-V1-NeutPos_IRR_TDR.eaf
25.64,26.65,1.01,raised,04-NeutPos-05,04-V1-NeutPos_IRR_TDR.eaf
26.66,27.26,0.6,raised-low,04-NeutPos-05,04-V1-NeutPos_IRR_TDR.eaf
11.73,13.21,1.48,inner-raise,07-baseline-02,07-V2-baseline_IRR_TDR.eaf
13.25,16.13,2.88,raised,07-declarative-03,07-V2-declarative_IRR_TDR.eaf
16.13,17.1,0.97,neutral,07-declarative-03,07-V2-declarative_IRR_TDR.eaf
2.08,3.91,1.83,raised,02-NegPos-01,02-V2-NegPos_IRR_TDR.eaf
3.91,4.91,1,raised-low,02-NegPos-01,02-V2-NegPos_IRR_TDR.eaf
17.05,18.57,1.52,lowered,02-NegPos-03,02-V2-NegPos_IRR_TDR.eaf
23.32,25.02,1.7,raised-low,02-NegPos-04,02-V2-NegPos_IRR_TDR.eaf
12.62,12.91,0.29,raised-low,06-PosNeg-02,06-V1-PosNeg_IRR_TDR.eaf
12.91,14.63,1.72,lowered,06-PosNeg-02,06-V1-PosNeg_IRR_TDR.eaf
25.49,25.96,0.47,raised-low,07-NeutNeut-04,07-V2-NeutNeut_IRR_TDR.eaf
25.96,27.6,1.64,lowered,07-NeutNeut-04,07-V2-NeutNeut_IRR_TDR.eaf
32.96,33.57,0.61,raised-low,07-NeutNeut-05,07-V2-NeutNeut_IRR_TDR.eaf
33.57,34.78,1.21,inner-raise,07-NeutNeut-05,07-V2-NeutNeut_IRR_TDR.eaf
2.42,2.69,0.27,raised-low,04-NegNeut-01,04-V1-NegNeut_IRR_TDR.eaf
2.69,4.12,1.43,neutral,04-NegNeut-01,04-V1-NegNeut_IRR_TDR.eaf
18.155,20.7,2.545,neutral,04-NegNeut-04,04-V1-NegNeut_IRR_TDR.eaf
10,12.85,2.85,raised-low,01-baseline-02,01-V2-baseline_IRR_TDR.eaf
1.85,4,2.15,neutral,03-declarative-01,03-V1-declarative_IRR_TDR.eaf
3.55,5.8,2.25,lowered,03-NegNeut-01,03-V1-NegNeut_IRR_TDR.eaf
14.43,16.69,2.26,raised,03-NegNeut-03,03-V1-NegNeut_IRR_TDR.eaf
25.68,25.91,0.23,raised-low,07-PosNeut-04,07-V2-PosNeut_IRR_TDR.eaf
25.91,28.62,2.71,lowered,07-PosNeut-04,07-V2-PosNeut_IRR_TDR.eaf
2.56,5.73,3.17,lowered,03-NeutNeut-01,03-V1-NeutNeut_IRR_TDR.eaf
23.3,25.23,1.93,lowered,03-NeutNeut-04,03-V1-NeutNeut_IRR_TDR.eaf
28.77,30.62,1.85,raised,03-NeutNeut-05,03-V1-NeutNeut_IRR_TDR.eaf
7.85,9.85,2,neutral,05-NeutNeut-02,05-V2-NeutNeut_IRR_TDR.eaf
9.85,10.46,0.61,raised-low,05-NeutNeut-02,05-V2-NeutNeut_IRR_TDR.eaf
10.46,11.46,1,lowered,05-NeutNeut-02,05-V2-NeutNeut_IRR_TDR.eaf
19.98,20.45,0.47,raised,04-PosNeut-04,04-V1-PosNeut_IRR_TDR.eaf
20.46,21.38,0.92,raised-low,04-PosNeut-04,04-V1-PosNeut_IRR_TDR.eaf
8.13,8.49,0.36,raised,05-baseline-02,05-V2-baseline_IRR_TDR.eaf
8.49,8.74,0.25,raised-low,05-baseline-02,05-V2-baseline_IRR_TDR.eaf
8.74,10.38,1.64,raised,05-baseline-02,05-V2-baseline_IRR_TDR.eaf
26.16,26.38,0.22,neutral,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
26.39,26.69,0.3,raised,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
26.7,26.87,0.17,neutral,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
26.88,27.52,0.64,lowered,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
27.52,28.3,0.78,raised-low,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
28.3,28.67,0.37,inner-raise,05-baseline-05,05-V2-baseline_IRR_TDR.eaf
13.94,14.23,0.29,raised-low,07-NegPos-02,07-V2-NegPos_IRR_TDR.eaf
14.23,15.42,1.19,lowered,07-NegPos-02,07-V2-NegPos_IRR_TDR.eaf
4.96,5.13,0.17,raised-low,06-NegNeut-01,06-V1-NegNeut_IRR_TDR.eaf
5.13,7.54,2.41,inner-raise,06-NegNeut-01,06-V1-NegNeut_IRR_TDR.eaf
2.72,3.31,0.59,raised,02-PosNeut-01,02-V2-PosNeut_IRR_TDR.eaf
3.31,3.65,0.34,raised-low,02-PosNeut-01,02-V2-PosNeut_IRR_TDR.eaf
3.65,4,0.35,raised,02-PosNeut-01,02-V2-PosNeut_IRR_TDR.eaf
4,4.65,0.65,raised-low,02-PosNeut-01,02-V2-PosNeut_IRR_TDR.eaf
4.65,5.1,0.45,neutral,02-PosNeut-01,02-V2-PosNeut_IRR_TDR.eaf
24.88,25.8,0.92,lowered,01-NegPos-04,01-V2-NegPos_IRR_TDR.eaf
25.8,26.65,0.85,inner-raise,01-NegPos-04,01-V2-NegPos_IRR_TDR.eaf
31.7,32.01,0.31,neutral,01-NegNeut-05,01-V2-NegNeut_IRR_TDR.eaf
32.01,34.12,2.11,inner-raise,01-NegNeut-05,01-V2-NegNeut_IRR_TDR.eaf
28.63,30.94,2.31,raised,03-NegPos-05,03-V1-NegPos_IRR_TDR.eaf
29.02,30.07,1.05,raised,05-PosNeut-05,05-V2-PosNeut_IRR_TDR.eaf
30.07,30.55,0.48,lowered,05-PosNeut-05,05-V2-PosNeut_IRR_TDR.eaf
30.55,31.24,0.69,raised-low,05-PosNeut-05,05-V2-PosNeut_IRR_TDR.eaf
31.24,31.89,0.65,neutral,05-PosNeut-05,05-V2-PosNeut_IRR_TDR.eaf
12.3,12.65,0.35,raised-low,07-PosNeg-02,07-V2-PosNeg_IRR_TDR.eaf
12.65,15.59,2.94,lowered,07-PosNeg-02,07-V2-PosNeg_IRR_TDR.eaf
9.31,10.59,1.28,lowered,02-baseline-02,02-V2-baseline_IRR_TDR.eaf
10.59,11.18,0.59,raised-low,02-baseline-02,02-V2-baseline_IRR_TDR.eaf
22.83,24.85,2.02,lowered,02-baseline-04,02-V2-baseline_IRR_TDR.eaf
28.15,29.92,1.77,lowered,02-baseline-05,02-V2-baseline_IRR_TDR.eaf
29.92,30.41,0.49,raised-low,02-baseline-05,02-V2-baseline_IRR_TDR.eaf
24.93,27.17,2.24,lowered,05-NegNeut-05,05-V2-NegNeut_IRR_TDR.eaf
24.66,25.93,1.27,raised-low,02-NeutNeut-04,02-V2-NeutNeut_IRR_TDR.eaf
27.11,28.6,1.49,raised,04-NeutNeut-05,04-V1-NeutNeut_IRR_TDR.eaf
28.6,29.7,1.1,raised-low,04-NeutNeut-05,04-V1-NeutNeut_IRR_TDR.eaf
31.24,31.96,0.72,raised-low,05-PosNeg-05,05-V2-PosNeg_IRR_TDR.eaf
31.96,33.48,1.52,lowered,05-PosNeg-05,05-V2-PosNeg_IRR_TDR.eaf
33.48,33.88,0.4,raised-low,05-PosNeg-05,05-V2-PosNeg_IRR_TDR.eaf
7.34,8.61,1.27,inner-raise,04-baseline-02,04-V1-baseline_IRR_TDR.eaf
11.76,13.29,1.53,inner-raise,04-baseline-03,04-V1-baseline_IRR_TDR.eaf
